1.Python -это?; z) Высокоуровневый язык программирования; x) Типизированный язык программирования; c)язык программирования; z
2.Что будет в результате этой программы: I =  5  while I < 15 print (i) I = I + 2; z)Выведит число 5; x)выведит числа от 13 до 5; c)выведит число от 5 до 13; c
3.Что будет в результате этой программы: 60 == 60 and 73 == 23; z)True; x)False; c)Незнаю; x
4.Как создать словарь?; z)m = (); x)m = {}; c)m = []; x
5.Как создать список?; z)a = []; x)a = (); c)a = {}; z
6.Чем отличается Питон от других языков программирования?; z)Питон может выполнять много задач; x)Питон может только создавать приложения; c)Питон направлен лишь на вычесления; z
7.Что будет в результате этой программы: a = 3 b = 6 print(a%b); z)2; x)6; c)3; c
8.Есть ли код в ошибке: print(7 + "8"); z)Нет; x)Незнаю; c)Да; c
9.Что будет в результате этой программы: s = (1, 's', 'a', 3); print(2 + s[-1] + 5); z)10; x)9; c)8; z
10.Что будет в результате этой программы: print("5" +  2); z)52; x)Ошибка; c)7; x
11.Что будет в результате этой программы:  х = 6  y =3.0 z = x/y print(z)?; z)2; x)20; c)2.0; c
12.Что будет в результате этой программы: g = {5, 2, 3, 4, 1) print d[2, 3, 0]; z)d = 3,4,5; x)d = 5,3,1; c)d = 2,4,1; z
13.Что делает метод list.extend?; z)Расширяет список list; x)Расширяет словарь list; c)Сокращает список list; z
14.Быстро ли выполняется цикл while?; z)Да; x)Нет; c)Незнаю; x
15.Как работает оператор continue?; z)Продолжает проход цикла вместе с предудущим циклом; x)Продолжает проход цикла минуя предыдущий цикл; c)Незнаю; x
16.Что делает метод list.remove(x)?; z)Удаляет список; x)Удаляет первый элемент в списке со значением х; c)Незнаю; x
17.Что делает функция time.clock() в Windows?; z)Возвращает текущее время с момента вызова данной функции; x)Возвращает текущее время; c)Незнаю; z
18.Что выводит формат %А?; z)Сокрощенное название дня недели; x)Полное название дня недели; c)Полное название месяца; x
19.Что делает метод datetime.replace?; z)Меняет новый  обЪект datetime cо старыми атрибутами; x)Незнаю; c)Возвращает новый обЪект datetime c измененными атрибутами; c
20.Что делает модуль os.path.split(path)?; z)Возвращает путь по частям; x)Разбивает путь по частям; c)Незнаю; z